"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Publisher","Date published","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type","Source"
"Journal Article","Funk L,Su KC,Ly J,Feldman D,Singh A,Moodie B,Blainey PC,Cheeseman IM","The phenotypic landscape of essential human genes","Cell","Cell","2022","185","24","4634-4653.e22","Elsevier BV","2022-11-23","0092-8674","1097-4172","http://dx.doi.org/10.1016/j.cell.2022.10.017;https://www.ncbi.nlm.nih.gov/pubmed/36347254;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10482496","10.1016/j.cell.2022.10.017","36347254","PMC10482496","Understanding the basis for cellular growth, proliferation, and function requires determining the roles of essential genes in diverse cellular processes, including visualizing their contributions to cellular organization and morphology. Here, we combined pooled CRISPR-Cas9-based functional screening of 5,072 fitness-conferring genes in human HeLa cells with microscopy-based imaging of DNA, the DNA damage response, actin, and microtubules. Analysis of >31 million individual cells identified measurable phenotypes for >90% of gene knockouts, implicating gene targets in specific cellular processes. Clustering of phenotypic similarities based on hundreds of quantitative parameters further revealed co-functional genes across diverse cellular activities, providing predictions for gene functions and associations. By conducting pooled live-cell screening of ∼450,000 cell division events for 239 genes, we additionally identified diverse genes with functional contributions to chromosome segregation. Our work establishes a resource detailing the consequences of disrupting core cellular processes that represents the functional landscape of essential human genes.","CRISPR-Cas9; cell division; essential genes; functional genomics; high-content screening; in situ sequencing; microscopy; mitosis; morphology; optical pooled screening","","Broad Institute of MIT and Harvard, 415 Main St., Cambridge, MA 02142, USA; Harvard-MIT Health Sciences and Technology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.; Broad Institute of MIT and Harvard, 415 Main St., Cambridge, MA 02142, USA.; Broad Institute of MIT and Harvard, 415 Main St., Cambridge, MA 02142, USA; Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, MA 02142, USA; Koch Institute for Integrative Cancer Research at MIT, Cambridge, MA 02142, USA. Electronic address: pblainey@broadinstitute.org.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Earnshaw WC,Allshire RC,Black BE,Bloom K,Brinkley BR,Brown W,Cheeseman IM,Choo KH,Copenhaver GP,Deluca JG,Desai A,Diekmann S,Erhardt S,Fitzgerald-Hayes M,Foltz D,Fukagawa T,Gassmann R,Gerlich DW,Glover DM,Gorbsky GJ,Harrison SC,Heun P,Hirota T,Jansen LE,Karpen G,Kops GJ,Lampson MA,Lens SM,Losada A,Luger K,Maiato H,Maddox PS,Margolis RL,Masumoto H,McAinsh AD,Mellone BG,Meraldi P,Musacchio A,Oegema K,O'Neill RJ,Salmon ED,Scott KC,Straight AF,Stukenberg PT,Sullivan BA,Sullivan KF,Sunkel CE,Swedlow JR,Walczak CE,Warburton PE,Westermann S,Willard HF,Wordeman L,Yanagida M,Yen TJ,Yoda K,Cleveland DW","Esperanto for histones: CENP-A, not CenH3, is the centromeric histone H3 variant","Chromosome Res.","Chromosome research: an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology","2013","21","2","101-106","Springer Nature","2013-04","0967-3849","1573-6849","http://dx.doi.org/10.1007/s10577-013-9347-y;https://www.ncbi.nlm.nih.gov/pubmed/23580138;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3627038","10.1007/s10577-013-9347-y","23580138","PMC3627038","The first centromeric protein identified in any species was CENP-A, a divergent member of the histone H3 family that was recognised by autoantibodies from patients with scleroderma-spectrum disease. It has recently been suggested to rename this protein CenH3. Here, we argue that the original name should be maintained both because it is the basis of a long established nomenclature for centromere proteins and because it avoids confusion due to the presence of canonical histone H3 at centromeres.","","","Wellcome Trust Centre for Cell Biology, University of Edinburgh, Mayfield Road, Edinburgh, Scotland, UK. bill.earnshaw@ed.ac.uk","en","Research Article",""
"Review","Maddox PS,Oegema K,Desai A,Cheeseman IM","""Holo""er than thou: chromosome segregation and kinetochore function in C. elegans","Chromosome Res.","Chromosome research: an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology","2004","12","6","641-653","Springer Nature","2004","0967-3849","1573-6849","http://dx.doi.org/10.1023/B:CHRO.0000036588.42225.2f;https://www.ncbi.nlm.nih.gov/pubmed/15289669","10.1023/B:CHRO.0000036588.42225.2f","15289669","","Kinetochores are proteinaceous organelles that assemble on centromeric DNA to direct chromosome segregation in all eukaryotes. While many aspects of kinetochore function are conserved, the nature of the chromosomal domain upon which kinetochores assemble varies dramatically between different species. In monocentric eukaryotes, kinetochores assemble on a localized region of each chromosome. In contrast, holocentric species such as the nematode Caenorhabditis elegans have diffuse kinetochores that form along the entire length of their chromosomes. Here, we discuss the nature of chromosome segregation in C. elegans. In addition to reviewing what is known about kinetochore function, chromosome structure, and chromosome movement, we consider the consequences of the specialized holocentric architecture on chromosome segregation.","","","CMM-East, Rm 3071G, Ludwig Institute for Cancer Research, 9500 Gilman Dr., La Jolla, CA 92093, USA. pmaddox@ucsd.edu","en","Review",""
"Review","Cheeseman IM,Desai A","Cell division: AAAtacking the mitotic spindle","Curr. Biol.","Current biology: CB","2004","14","2","R70-2","Elsevier BV","2004-01-20","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2003.12.048;https://www.ncbi.nlm.nih.gov/pubmed/14738753","10.1016/j.cub.2003.12.048","14738753","","Cell division requires the assembly of a microtubule-based spindle which captures and segregates sister chromatids. But how is this spindle broken down once chromosome segregation is complete? New evidence implicates a highly conserved AAA-ATPase in spindle disassembly at the end of mitosis.","","http://www.elsevier.com/open-access/userlicense/1.0/","CMM-East, Rm 3071G, Ludwig Institute for Cancer Research, La Jolla, California 92093, USA. icheeseman@ucsd.edu","en","Review",""
"Journal Article","Schweizer N,Ferrás C,Kern DM,Logarinho E,Cheeseman IM,Maiato H","Spindle assembly checkpoint robustness requires Tpr-mediated regulation of Mad1/Mad2 proteostasis","J. Cell Biol.","The journal of cell biology","2013","203","6","883-893","Rockefeller University Press","2013-12-23","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.201309076;https://www.ncbi.nlm.nih.gov/pubmed/24344181;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3871433","10.1083/jcb.201309076","24344181","PMC3871433","Tpr is a conserved nuclear pore complex (NPC) protein implicated in the spindle assembly checkpoint (SAC) by an unknown mechanism. Here, we show that Tpr is required for normal SAC response by stabilizing Mad1 and Mad2 before mitosis. Tpr coimmunoprecipitated with Mad1 and Mad2 (hereafter designated as Tpr/Mad1/Mad2 or TM2 complex) during interphase and mitosis, and is required for Mad1–c-Mad2 recruitment to NPCs. Interestingly, Tpr was normally undetectable at kinetochores and dispensable for Mad1, but not for Mad2, kinetochore localization, which suggests that SAC robustness depends on Mad2 levels at kinetochores. Protein half-life measurements demonstrate that Tpr stabilizes Mad1 and Mad2, ensuring normal Mad1–c-Mad2 production in an mRNA- and kinetochore-independent manner. Overexpression of GFP-Mad2 restored normal SAC response and Mad2 kinetochore levels in Tpr-depleted cells. Mechanistically, we provide evidence that Tpr might spatially regulate SAC proteostasis through the SUMO-isopeptidases SENP1 and SENP2 at NPCs. Thus, Tpr is a kinetochore-independent, rate-limiting factor required to mount and sustain a robust SAC response.","","","","en","Research Article",""
"Review","Cheeseman IM,Drubin DG,Barnes G","Simple centromere, complex kinetochore: linking spindle microtubules and centromeric DNA in budding yeast","J. Cell Biol.","The journal of cell biology","2002","157","2","199-203","Rockefeller University Press","2002-04-15","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.200201052;https://www.ncbi.nlm.nih.gov/pubmed/11956223;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2199245","10.1083/jcb.200201052","11956223","PMC2199245","Although the budding yeast centromere is extremely short (125 bp) compared to those of other eukaryotes, the kinetochore that assembles on this DNA displays a rich molecular complexity. Here, we describe recent advances in our understanding of kinetochore function in budding yeast and present a model describing the attachment that is formed between spindle microtubules and centromeric DNA. This analysis may provide general principles for kinetochore function and regulation.","","","Department of Molecular and Cell Biology, University of California, Berkeley, CA 94720-3202, USA.","en","Review",""
"Journal Article","Cheeseman IM,Brew C,Wolyniak M,Desai A,Anderson S,Muster N,Yates JR,Huffaker TC,Drubin DG,Barnes G","Implication of a novel multiprotein Dam1p complex in outer kinetochore function","J. Cell Biol.","The journal of cell biology","2001","155","7","1137-1145","Rockefeller University Press","2001-12-24","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.200109063;https://www.ncbi.nlm.nih.gov/pubmed/11756468;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2199314","10.1083/jcb.200109063","11756468","PMC2199314","Dam1p, Duo1p, and Dad1p can associate with each other physically and are required for both spindle integrity and kinetochore function in budding yeast. Here, we present our purification from yeast extracts of an approximately 245 kD complex containing Dam1p, Duo1p, and Dad1p and Spc19p, Spc34p, and the previously uncharacterized proteins Dad2p and Ask1p. This Dam1p complex appears to be regulated through the phosphorylation of multiple subunits with at least one phosphorylation event changing during the cell cycle. We also find that purified Dam1p complex binds directly to microtubules in vitro with an affinity of approximately 0.5 microM. To demonstrate that subunits of the Dam1p complex are functionally important for mitosis in vivo, we localized Spc19-green fluorescent protein (GFP), Spc34-GFP, Dad2-GFP, and Ask1-GFP to the mitotic spindle and to kinetochores and generated temperature-sensitive mutants of DAD2 and ASK1. These and other analyses implicate the four newly identified subunits and the Dam1p complex as a whole in outer kinetochore function where they are well positioned to facilitate the association of chromosomes with spindle microtubules.","","","Department of Molecular and Cell Biology, University of California, Berkeley, CA 94720, USA.","en","Research Article",""
"Journal Article","Cheeseman IM,MacLeod I,Yates 3rd JR,Oegema K,Desai A","The CENP-F-like proteins HCP-1 and HCP-2 target CLASP to kinetochores to mediate chromosome segregation","Curr. Biol.","Current biology: CB","2005","15","8","771-777","Elsevier BV","2005-04-26","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2005.03.018;https://www.ncbi.nlm.nih.gov/pubmed/15854912","10.1016/j.cub.2005.03.018","15854912","","During chromosome segregation, kinetochores form dynamic connections with spindle microtubules. In vertebrates, these attachments require the activities of a number of outer kinetochore proteins, including CENP-F [1, 2] and the widely conserved microtubule-associated protein CLASP [3]. Here, we investigate the functional relationship between HCP-1/2, two redundant CENP-F-like proteins, and CLASP(CLS-2) in Caenorhabditis elegans. HCP-1/2 and CLASP(CLS-2) localize transiently to mitotic C. elegans kinetochores with nearly identical kinetic profiles, and biochemical purifications demonstrate that they also associate physically. In embryos depleted of HCP-1/2, CLASP(CLS-2) no longer localizes to chromosomes, whereas CLASP(CLS-2) depletion does not prevent HCP-1/2 targeting. Consistent with the localization dependency and biochemical association, depletion of HCP-1/2 or CLASP(CLS-2) resulted in virtually identical defects in mitotic chromosome segregation characterized by a failure of sister-chromatid biorientation. This phenotype could be partially suppressed by disrupting the astral forces that pull spindle poles apart in the 1 cell embryo, indicating that CLASP(CLS-2) is required for biorientation when chromosome-spindle attachments are subjected to poleward force. Our results establish that the key role of HCP-1/2 is to target CLASP(CLS-2) to kinetochores, and they support the recently proposed model that CLASP functions to promote the polymerization of kinetochore bound microtubules [4].","","http://www.elsevier.com/open-access/userlicense/1.0/","Department of Cellular and Molecular Medicine, Ludwig Institute for Cancer Research, University of California, San Diego School of Medicine, La Jolla, 92093, USA. icheeseman@ucsd.edu","en","Research Article",""
"Journal Article","DeKelver RC,Choi VM,Moehle EA,Paschon DE,Hockemeyer D,Meijsing SH,Sancak Y,Cui X,Steine EJ,Miller JC,Tam P,Bartsevich VV,Meng X,Rupniewski I,Gopalan SM,Sun HC,Pitz KJ,Rock JM,Zhang L,Davis GD,Rebar EJ,Cheeseman IM,Yamamoto KR,Sabatini DM,Jaenisch R,Gregory PD,Urnov FD","Functional genomics, proteomics, and regulatory DNA analysis in isogenic settings using zinc finger nuclease-driven transgenesis into a safe harbor locus in the human genome","Genome Res.","Genome research","2010","20","8","1133-1142","Cold Spring Harbor Laboratory","2010-08","1088-9051","1549-5469","http://dx.doi.org/10.1101/gr.106773.110;https://www.ncbi.nlm.nih.gov/pubmed/20508142;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2909576","10.1101/gr.106773.110","20508142","PMC2909576","Isogenic settings are routine in model organisms, yet remain elusive for genetic experiments on human cells. We describe the use of designed zinc finger nucleases (ZFNs) for efficient transgenesis without drug selection into the PPP1R12C gene, a ""safe harbor"" locus known as AAVS1. ZFNs enable targeted transgenesis at a frequency of up to 15% following transient transfection of both transformed and primary human cells, including fibroblasts and hES cells. When added to this locus, transgenes such as expression cassettes for shRNAs, small-molecule-responsive cDNA expression cassettes, and reporter constructs, exhibit consistent expression and sustained function over 50 cell generations. By avoiding random integration and drug selection, this method allows bona fide isogenic settings for high-throughput functional genomics, proteomics, and regulatory DNA analysis in essentially any transformed human cell type and in primary cells.","","","Sangamo BioSciences, Inc., Point Richmond Tech Center, Richmond, California 94804, USA.","en","Research Article",""
"Journal Article","Zanin E,Dumont J,Gassmann R,Cheeseman I,Maddox P,Bahmanyar S,Carvalho A,Niessen S,Yates 3rd JR,Oegema K,Desai A","Affinity purification of protein complexes in C. elegans","Methods Cell Biol.","Methods in cell biology","2011","106","","289-322","","2011","0091-679X","","http://dx.doi.org/10.1016/B978-0-12-544172-8.00011-6;https://www.ncbi.nlm.nih.gov/pubmed/22118282;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3319706","10.1016/B978-0-12-544172-8.00011-6","22118282","PMC3319706","C. elegans is a powerful metazoan model system to address fundamental questions in cell and developmental biology. Research in C. elegans has traditionally focused on genetic, physiological, and cell biological approaches. However, C. elegans is also a facile system for biochemistry: worms are easy to grow in large quantities, the functionality of tagged fusion proteins can be assessed using mutants or RNAi, and the relevance of putative interaction partners can be rapidly tested in vivo. Combining biochemistry with function-based genetic and RNA interference screens can rapidly accelerate the delineation of protein networks and pathways in diverse contexts. In this chapter, we focus on two strategies to identify protein-protein interactions: single-step immunoprecipitation and tandem affinity purification. We describe methods for growth of worms in large-scale liquid culture, preparation of worm and embryo extracts, immunoprecipitation, and tandem affinity purification. In addition, we describe methods to test specificity of antibodies, strategies for optimizing starting material, and approaches to distinguish specific from non-specific interactions.","","","Ludwig Institute for Cancer Research and Department of Cellular & Molecular Medicine, University of California San Diego, La Jolla, California, USA.","en","Research Article",""
"Journal Article","Cheeseman I","Iain Cheeseman: a strong attachment to kinetochores. [An interview by Ben Short]","J. Cell Biol.","The journal of cell biology","2009","186","6","770-771","Rockefeller University Press","2009-09-21","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.1866pi;https://www.ncbi.nlm.nih.gov/pubmed/19752023;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2753165","10.1083/jcb.1866pi","19752023","PMC2753165","Cheeseman is looking forward to a new era of research on chromosome segregation.","","","","en","Research Article",""
"Commentary","Gascoigne KE,Cheeseman IM","T time for point centromeres","Nat. Cell Biol.","Nature cell biology","2012","14","6","559-561","Springer Science and Business Media LLC","2012-05-30","1465-7392","1476-4679","http://dx.doi.org/10.1038/ncb2509;https://www.ncbi.nlm.nih.gov/pubmed/22561349","10.1038/ncb2509","22561349","","The diverse nature of eukaryotic centromere structure has led to a prevailing view that the kinetochore-chromatin interface is fundamentally different in distinct species. Two studies now challenge this dogma with the identification of budding yeast homologues of the vertebrate centromere DNA-binding proteins CENP-T and CENP-W.","","","","en","Commentary",""
